account_number,customer_id,account_type,open_date,balance,status
ACC-00001,CUST-0001,Savings,2018-07-01,90580.0,ACTIVE
ACC-00002,CUST-0002,Credit Card,2022-09-08,90932.0,ACTIVE
ACC-00003,CUST-0003,Savings,2026-04-01,45056.0,ACTIVE
ACC-00004,CUST-0004,Checking,2024-08-18,74287.0,ACTIVE
ACC-00005,CUST-0005,Savings,2024-09-17,1993.0,ACTIVE
ACC-00006,CUST-0006,Savings,2026-01-08,23956.0,ACTIVE
ACC-00007,CUST-0007,Checking,2022-08-01,9196.0,ACTIVE
ACC-00008,CUST-0008,Savings,2025-09-10,6661.0,ACTIVE
ACC-00009,CUST-0008,Savings,2019-10-15,20384.0,ACTIVE
ACC-00010,CUST-0009,Credit Card,2022-12-13,7052.0,ACTIVE
ACC-00011,CUST-0009,Checking,2022-04-27,50793.0,ACTIVE
ACC-00012,CUST-0010,Credit Card,2021-01-15,9752.0,ACTIVE
ACC-00013,CUST-0011,Credit Card,2026-06-21,79542.0,ACTIVE
ACC-00014,CUST-0011,Savings,2023-04-24,2653.0,ACTIVE
ACC-00015,CUST-0012,Savings,2022-11-28,38153.0,ACTIVE
ACC-00016,CUST-0013,Checking,2019-11-23,1861.0,ACTIVE
ACC-00017,CUST-0014,Credit Card,2026-07-14,8540.0,ACTIVE
ACC-00018,CUST-0014,Credit Card,2026-07-08,60825.0,ACTIVE
ACC-00019,CUST-0015,Credit Card,2022-03-16,49404.0,ACTIVE
ACC-00020,CUST-0016,Credit Card,2020-02-08,4372799.0,ACTIVE
ACC-00021,CUST-0016,Savings,2022-05-06,2905.0,DORMANT
ACC-00022,CUST-0017,Credit Card,2023-09-10,46952.0,ACTIVE
ACC-00023,CUST-0018,Checking,2023-01-05,24647.0,ACTIVE
ACC-00024,CUST-0019,Savings,2019-02-28,4675.0,ACTIVE
ACC-00025,CUST-0020,Credit Card,2022-03-13,1818267.0,ACTIVE
ACC-00026,CUST-0020,Savings,2019-09-28,66038.0,ACTIVE
ACC-00027,CUST-0021,Credit Card,2018-09-19,1497.0,ACTIVE
ACC-00028,CUST-0022,Savings,2023-05-14,89092.0,ACTIVE
ACC-00029,CUST-0022,Checking,2026-04-21,80005.0,ACTIVE
ACC-00030,CUST-0023,Checking,2025-04-29,3674.0,ACTIVE
ACC-00031,CUST-0024,Savings,2022-06-16,25071.0,ACTIVE
ACC-00032,CUST-0025,Checking,2022-01-11,4616.0,ACTIVE
ACC-00033,CUST-0025,Credit Card,2024-04-30,4733.0,ACTIVE
ACC-00034,CUST-0026,Credit Card,2022-10-09,4502.0,ACTIVE
ACC-00035,CUST-0027,Credit Card,2019-06-30,9541.0,ACTIVE
ACC-00036,CUST-0028,Checking,2022-05-09,79734.0,ACTIVE
ACC-00037,CUST-0028,Savings,2021-02-06,7864.0,ACTIVE
ACC-00038,CUST-0029,Savings,2019-08-25,1203.0,ACTIVE
ACC-00039,CUST-0030,Credit Card,2020-01-06,32250.0,ACTIVE
ACC-00040,CUST-0030,Credit Card,2025-02-01,2564431.0,ACTIVE
ACC-00041,CUST-0031,Savings,2022-12-24,5610.0,ACTIVE
ACC-00042,CUST-0032,Savings,2025-07-22,6689.0,ACTIVE
ACC-00043,CUST-0033,Savings,2020-02-10,9874.0,ACTIVE
ACC-00044,CUST-0033,Savings,2025-06-16,7646.0,ACTIVE
ACC-00045,CUST-0034,Savings,2019-01-23,9524.0,ACTIVE
ACC-00046,CUST-0034,Credit Card,2025-05-29,9491.0,ACTIVE
ACC-00047,CUST-0035,Savings,2021-12-21,91110.0,ACTIVE
ACC-00048,CUST-0036,Savings,2022-12-25,70573.0,ACTIVE
ACC-00049,CUST-0037,Credit Card,2019-05-12,99365.0,ACTIVE
ACC-00050,CUST-0038,Checking,2025-08-15,65743.0,ACTIVE
ACC-00051,CUST-0038,Checking,2019-02-28,1773017.0,ACTIVE
ACC-00052,CUST-0039,Credit Card,2023-02-09,4601.0,ACTIVE
ACC-00053,CUST-0039,Savings,2023-07-30,6226.0,ACTIVE
ACC-00054,CUST-0040,Checking,2025-03-24,77472.0,ACTIVE
ACC-00055,CUST-0041,Credit Card,2019-02-09,1952.0,ACTIVE
ACC-00056,CUST-0042,Credit Card,2021-08-08,5610.0,ACTIVE
ACC-00057,CUST-0042,Checking,2025-08-16,22217.0,ACTIVE
ACC-00058,CUST-0043,Savings,2023-11-06,8867.0,ACTIVE
ACC-00059,CUST-0044,Checking,2019-11-01,1692.0,ACTIVE
ACC-00060,CUST-0045,Credit Card,2020-09-07,5751.0,ACTIVE
ACC-00061,CUST-0046,Savings,2018-10-18,3236.0,ACTIVE
ACC-00062,CUST-0046,Savings,2022-09-13,9057.0,ACTIVE
ACC-00063,CUST-0046,Credit Card,2023-09-13,65048.0,ACTIVE
ACC-00064,CUST-0047,Savings,2021-10-15,4694.0,ACTIVE
ACC-00065,CUST-0048,Savings,2025-01-24,3517.0,ACTIVE
ACC-00066,CUST-0049,Checking,2021-04-03,86058.0,ACTIVE
ACC-00067,CUST-0050,Savings,2022-04-01,2619.0,ACTIVE
ACC-00068,CUST-0051,Checking,2023-09-15,32667.0,ACTIVE
ACC-00069,CUST-0051,Credit Card,2020-07-04,3066.0,ACTIVE
ACC-00070,CUST-0052,Savings,2020-03-19,40745.0,ACTIVE
ACC-00071,CUST-0053,Checking,2022-11-15,3369.0,ACTIVE
ACC-00072,CUST-0054,Credit Card,2024-12-21,3796.0,ACTIVE
ACC-00073,CUST-0055,Checking,2026-02-04,3304.0,ACTIVE
ACC-00074,CUST-0056,Checking,2025-07-20,695.0,ACTIVE
ACC-00075,CUST-0056,Checking,2020-12-22,72269.0,ACTIVE
ACC-00076,CUST-0057,Savings,2021-06-28,80879.0,ACTIVE
ACC-00077,CUST-0058,Checking,2026-02-21,4170523.0,ACTIVE
ACC-00078,CUST-0058,Savings,2025-12-20,880782.0,ACTIVE
ACC-00079,CUST-0059,Credit Card,2026-01-08,42706.0,ACTIVE
ACC-00080,CUST-0059,Checking,2021-08-03,4258.0,ACTIVE
ACC-00081,CUST-0060,Savings,2022-06-22,1993.0,ACTIVE
ACC-00082,CUST-0061,Checking,2018-09-06,7713.0,ACTIVE
ACC-00083,CUST-0062,Credit Card,2020-07-21,8956.0,ACTIVE
ACC-00084,CUST-0063,Credit Card,2024-11-25,9899.0,ACTIVE
ACC-00085,CUST-0063,Checking,2020-07-25,5264.0,ACTIVE
ACC-00086,CUST-0064,Savings,2019-09-24,3240.0,ACTIVE
ACC-00087,CUST-0065,Credit Card,2020-08-11,31887.0,ACTIVE
ACC-00088,CUST-0066,Credit Card,2021-04-28,35058.0,ACTIVE
ACC-00089,CUST-0066,Checking,2025-12-08,4763.0,ACTIVE
ACC-00090,CUST-0067,Savings,2024-07-06,5894.0,ACTIVE
ACC-00091,CUST-0068,Savings,2021-06-19,653.0,ACTIVE
ACC-00092,CUST-0069,Savings,2025-10-06,87548.0,ACTIVE
ACC-00093,CUST-0070,Checking,2023-12-18,4574.0,DORMANT
ACC-00094,CUST-0070,Checking,2018-11-17,723.0,ACTIVE
ACC-00095,CUST-0070,Savings,2023-08-02,5229.0,DORMANT
ACC-00096,CUST-0071,Credit Card,2022-08-27,7449.0,ACTIVE
ACC-00097,CUST-0072,Credit Card,2018-09-25,3615.0,DORMANT
ACC-00098,CUST-0072,Savings,2023-08-04,56059.0,ACTIVE
ACC-00099,CUST-0072,Checking,2023-12-26,4113.0,ACTIVE
ACC-00100,CUST-0073,Checking,2020-02-12,6210.0,ACTIVE
ACC-00101,CUST-0074,Credit Card,2019-02-27,3990.0,ACTIVE
ACC-00102,CUST-0074,Checking,2026-05-14,19472.0,ACTIVE
ACC-00103,CUST-0075,Checking,2018-08-24,24987.0,ACTIVE
ACC-00104,CUST-0076,Savings,2021-05-02,3775.0,ACTIVE
ACC-00105,CUST-0077,Checking,2019-06-06,7036.0,ACTIVE
ACC-00106,CUST-0078,Savings,2022-12-25,70858.0,ACTIVE
ACC-00107,CUST-0079,Credit Card,2018-08-09,4381.0,ACTIVE
ACC-00108,CUST-0080,Credit Card,2022-07-29,97819.0,ACTIVE
ACC-00109,CUST-0080,Savings,2021-04-25,68026.0,ACTIVE
ACC-00110,CUST-0080,Credit Card,2022-08-20,3200.0,ACTIVE
ACC-00111,CUST-0081,Savings,2025-08-22,27705.0,ACTIVE
ACC-00112,CUST-0081,Checking,2025-09-30,56374.0,ACTIVE
ACC-00113,CUST-0082,Credit Card,2024-10-21,9191.0,ACTIVE
ACC-00114,CUST-0082,Credit Card,2023-06-09,81370.0,ACTIVE
ACC-00115,CUST-0083,Checking,2023-05-27,66078.0,ACTIVE
ACC-00116,CUST-0084,Checking,2022-10-19,935561.0,ACTIVE
ACC-00117,CUST-0084,Credit Card,2026-07-11,6209.0,ACTIVE
ACC-00118,CUST-0085,Checking,2022-12-25,4692.0,ACTIVE
ACC-00119,CUST-0085,Savings,2025-04-10,1714.0,ACTIVE
ACC-00120,CUST-0085,Checking,2022-04-20,56136.0,ACTIVE
ACC-00121,CUST-0086,Savings,2020-10-03,5966.0,ACTIVE
ACC-00122,CUST-0087,Savings,2024-10-08,1211443.0,ACTIVE
ACC-00123,CUST-0087,Credit Card,2019-08-03,4266.0,ACTIVE
ACC-00124,CUST-0088,Checking,2024-05-26,9808.0,ACTIVE
ACC-00125,CUST-0089,Credit Card,2023-09-27,85521.0,ACTIVE
ACC-00126,CUST-0089,Checking,2020-06-25,3406.0,ACTIVE
ACC-00127,CUST-0090,Checking,2019-12-07,3551.0,ACTIVE
ACC-00128,CUST-0091,Savings,2018-08-25,5686.0,ACTIVE
ACC-00129,CUST-0092,Credit Card,2021-11-15,62261.0,ACTIVE
ACC-00130,CUST-0092,Credit Card,2022-06-30,4859.0,ACTIVE
ACC-00131,CUST-0092,Checking,2023-07-17,5906.0,ACTIVE
ACC-00132,CUST-0093,Checking,2025-04-27,9067.0,ACTIVE
ACC-00133,CUST-0094,Credit Card,2021-03-30,32998.0,ACTIVE
ACC-00134,CUST-0095,Credit Card,2025-06-21,4289.0,ACTIVE
ACC-00135,CUST-0096,Credit Card,2020-12-27,44063.0,ACTIVE
ACC-00136,CUST-0097,Checking,2024-07-11,3526.0,ACTIVE
ACC-00137,CUST-0098,Credit Card,2020-11-05,10171.0,ACTIVE
ACC-00138,CUST-0099,Checking,2020-03-02,975.0,ACTIVE
ACC-00139,CUST-0100,Savings,2018-05-31,4534.0,ACTIVE
ACC-00140,CUST-0101,Savings,2021-09-22,9829.0,ACTIVE
ACC-00141,CUST-0102,Credit Card,2026-05-14,3013.0,ACTIVE
ACC-00142,CUST-0103,Checking,2022-08-22,7682.0,ACTIVE
ACC-00143,CUST-0103,Credit Card,2025-05-13,2228.0,ACTIVE
ACC-00144,CUST-0104,Savings,2024-05-12,65656.0,ACTIVE
ACC-00145,CUST-0105,Checking,2026-02-09,6109.0,ACTIVE
ACC-00146,CUST-0105,Checking,2022-11-15,1001.0,ACTIVE
ACC-00147,CUST-0105,Savings,2022-11-05,6205.0,ACTIVE
ACC-00148,CUST-0105,Checking,2025-04-30,3944.0,ACTIVE
ACC-00149,CUST-0106,Savings,2023-11-26,1687.0,ACTIVE
ACC-00150,CUST-0106,Checking,2021-07-05,12365.0,ACTIVE
ACC-00151,CUST-0107,Checking,2023-09-28,1958445.0,ACTIVE
ACC-00152,CUST-0107,Checking,2026-07-22,3314.0,ACTIVE
