customer_id,full_name,email,phone,address,residence_country,customer_age
CUST-0001,Tonya Rose,chapmanantonio@example.net,609-412-7075,"011 Julie Trace Apt. 720, Lake Debrastad, RI 04250",United States,29
CUST-0002,Kenneth Lawson MD,brucemccoy@example.org,001-614-276-9132,"61974 Smith Locks Suite 221, Carpenterport, TN 69110",India,18
CUST-0003,Steven Tapia,fhanna@example.org,493.691.2038x911,"389 Irwin Forest, Millerberg, KS 89886",Canada,37
CUST-0004,Ariana Schultz,candicestout@example.com,(234)526-2417x28042,"6333 Angela Corner Suite 625, New James, TN 76701",Japan,22
CUST-0005,Yolanda Diaz,stephensbrian@example.com,657-515-7589x4191,"7969 Kevin Islands, New Nathanielport, WY 53383",Japan,30
CUST-0006,Christopher Dorsey,upatrick@example.org,518.602.7091,"38327 Faith Junction Apt. 102, Spenceville, DC 89120",United Kingdom,40
CUST-0007,Alison Hernandez,donaldfox@example.org,928-987-6116x81832,"USNS Nelson, FPO AP 69917",Switzerland,12
CUST-0008,Angela Graham,richardgreene@example.net,+1-973-674-0757x126,"555 Edward Road Apt. 975, Tatefurt, SD 02553",France,68
CUST-0009,Brandi Wilson,michele20@example.org,001-396-323-1052x0650,"32814 Danny Court, East Robertland, WI 07781",Canada,66
CUST-0010,Megan Davis,stevenmartinez@example.org,597-695-3283x4520,"17429 Carlson Spring, Coreystad, UT 29752",United States,40
CUST-0011,Nicholas Fuller,gail40@example.net,001-301-595-3019x44359,"9293 Melinda Streets, South Jerry, MS 56102",France,25
CUST-0012,James Mejia,djones@example.net,001-864-553-5975,"622 Robert Fort, Tamiport, OH 38297",Germany,67
CUST-0013,Frederick Hancock,yhardy@example.com,(845)872-1388,"146 John Junctions Apt. 336, Daviston, MO 86809",Australia,25
CUST-0014,Brittney Lowe,heather57@example.net,295.268.9123x122,"062 Jennifer Square, New Vickiberg, RI 93521",United Kingdom,60
CUST-0015,Rebecca Watson,taylorchad@example.org,9778101750,"37918 Hardy Ridges, West Nathanielville, VA 75426",United Kingdom,28
CUST-0016,Paul Reyes,kimberlymitchell@example.com,820-414-6898,"480 Cuevas River, Hoffmanfurt, WY 65638",Canada,30
CUST-0017,Betty Farley,nunezamanda@example.net,001-735-320-5584x26255,"364 Anderson View Suite 270, Carneyview, ID 62856",Australia,21
CUST-0018,Jake Schultz,kcook@example.org,+1-497-643-4542x2645,"680 Jamie Mount Apt. 650, Port Karen, NE 06209",Canada,31
CUST-0019,Nathan Morales,eric72@example.com,(313)874-0790,"946 Gill Squares, Charlenefort, VI 83464",India,68
CUST-0020,Timothy Jefferson,doughertymichael@example.org,+1-937-559-1705x060,"PSC 2994, Box 4529, APO AP 25512",Japan,30
CUST-0021,Valerie Potter,jonathanfoster@example.net,+1-930-662-4990x5360,"2305 Moore Lock Apt. 293, Richardview, SC 38464",United Kingdom,59
CUST-0022,Shawn Williamson,cbautista@example.com,001-319-778-8327,"4919 Robert Trail Apt. 009, Tanyaview, IA 82257",Venezuela,70
CUST-0023,Matthew Miller,shawn29@example.org,5578945789,"184 Cook Curve Suite 580, Lake Brandonhaven, TN 32521",Australia,34
CUST-0024,Rachel Gonzalez,justin71@example.net,(826)464-8524,"19364 Allison Meadows, East Michael, MT 53857",Singapore,36
CUST-0025,Logan Rodriguez,hsoto@example.org,999-640-0252x68277,"3473 Catherine Island Apt. 213, Jefferymouth, NE 76555",Canada,66
CUST-0026,Jane Weaver,tzimmerman@example.org,001-871-386-1929,"7052 Blankenship Trace, East Ashley, VA 91190",United Kingdom,39
CUST-0027,Jennifer Williams,goodmanjeffrey@example.com,4544797360,"4191 Samantha Path Apt. 535, Lake Davidside, AL 03154",Japan,37
CUST-0028,Thomas Sutton,nicolehudson@example.com,(324)279-5469,"366 Fleming Island, Wrightchester, TN 86670",Canada,30
CUST-0029,Brian Ramirez,brandi46@example.com,5194524578,"Unit 6335 Box 9816, DPO AA 27598",Canada,45
CUST-0030,Johnny Wilson,amber92@example.com,001-591-415-9434x65003,"701 Carl Park, Joneshaven, AZ 92551",Switzerland,32
CUST-0031,Kenneth Waters,mmiller@example.com,001-744-783-0931x1122,"7058 Tara Row Apt. 220, Garrisonstad, MP 32634",Japan,34
CUST-0032,Andrew Robinson,jacksonbrittany@example.com,830-958-1305,"7534 Holmes Rue Suite 237, Josephburgh, ME 29885",Switzerland,49
CUST-0033,Andrew Stanley,jjordan@example.com,(964)688-2424x3843,"142 Tanner Island Apt. 809, Lewisville, TN 97752",United States,30
CUST-0034,Darryl Parks,eric20@example.org,5935803921,"185 Luis Crescent, Port Johnton, AZ 47378",Japan,75
CUST-0035,Anthony Mcbride,maryramsey@example.com,001-779-215-3151x62658,"36272 Jill Road, Port Scott, VT 39426",Canada,32
CUST-0036,Roy Martin,kellynancy@example.org,714.403.9727,"4684 Taylor Summit Suite 363, Riceport, NY 16621",Germany,36
CUST-0037,Leslie Lee,laurahill@example.org,+1-561-468-6665x480,"PSC 1597, Box 5277, APO AA 86291",Switzerland,47
CUST-0038,Robert Powell,elizabethmoore@example.net,001-934-821-1817x2232,"9289 Gary Ford Apt. 707, Pollardburgh, MA 37615",Switzerland,38
CUST-0039,John Simmons,ltownsend@example.net,(341)820-3873x670,"778 Hunt Isle, East Kimberly, IA 76643",France,46
CUST-0040,Dominique Meyers,evan46@example.com,352-273-3131,"697 Jones Common Apt. 079, Castrobury, ND 93320",Switzerland,68
CUST-0041,William Hernandez,kathrynstephens@example.com,(577)316-4132x4148,"2942 Tonya Ranch Apt. 210, West Emily, NY 02418",Germany,29
CUST-0042,Vincent Baker,valentinedean@example.com,(813)840-9162x571,"035 Jackson Lakes, West Jonathanborough, GU 96636",Australia,33
CUST-0043,Brenda Stuart,coxruth@example.net,9995998116,"025 Ashley Locks, Perezville, WV 43234",United States,74
CUST-0044,Luke Novak,suttonheather@example.com,259.843.5975,"7248 King Stravenue, Lake Brianfort, SD 88968",Germany,45
CUST-0045,Alison Barrett,henryeric@example.com,256.753.8322x1203,"65385 Evan Port Apt. 081, North Sarahshire, MD 22048",Canada,28
CUST-0046,Angela Carpenter,xbrown@example.com,001-488-958-2707,"600 John Heights, West Sandy, AZ 63917",Singapore,43
CUST-0047,Shannon Adams,marissa50@example.org,727-658-6549x4358,"1737 Elizabeth Point, Bellville, SC 99739",Switzerland,65
CUST-0048,Felicia Gray MD,christopher85@example.com,(388)681-1336x292,"Unit 0969 Box 8411, DPO AE 11061",India,66
CUST-0049,Travis Stone,joseph57@example.org,293.911.3689,"23655 Patrick Shoals, Kerrifort, HI 95012",Singapore,45
CUST-0050,Michael Davies,jeremiahterrell@example.net,8194564994,"PSC 5808, Box 0197, APO AA 94604",Japan,55
CUST-0051,Derek Smith,john17@example.com,781.250.1715,"2754 Velazquez Bridge, Melodyton, FM 64836",Singapore,28
CUST-0052,Megan White,kellermichelle@example.net,302-527-2472x950,"330 Jacqueline Road Apt. 854, West Amyshire, AL 18115",Singapore,59
CUST-0053,Marcus Burke,maria85@example.org,3454017901,"423 John Dale Suite 137, Harrisonton, MD 67945",Australia,77
CUST-0054,Tracey Shaw,dustin36@example.com,241.841.6700,"572 Soto Brook Suite 642, West Samantha, MT 49261",Singapore,20
CUST-0055,Jorge Wilson,hannahbaker@example.org,816-546-6277,"05142 Dylan Plaza, Joshuaborough, AR 99149",Japan,25
CUST-0056,Kevin Baird,ywhite@example.org,940-787-8965x21759,"21895 Misty Turnpike, New Jamesberg, MP 84274",United States,36
CUST-0057,Jacqueline Hill,gonzalestimothy@example.net,001-406-862-9649x21403,"794 Martin Shoal Suite 994, Mclaughlinland, KY 74832",Canada,86
CUST-0058,Bryan Taylor,michael34@example.com,3633125720,"71763 Meghan Terrace Apt. 417, Larryland, MS 79345",Singapore,47
CUST-0059,Melanie Ballard,burnskevin@example.net,(361)440-5441,"51178 Barbara Lights, North Sarah, MN 61237",Germany,46
CUST-0060,Nancy Marshall,jacobfoley@example.net,(778)667-0689x25783,"4454 Sherry Ranch, Bradleyburgh, AL 29702",Japan,87
CUST-0061,Heather Quinn,troy49@example.net,692-924-8692x39181,"4589 Ortiz Plaza, Lake Kellimouth, AK 89749",Singapore,39
CUST-0062,Daniel Smith,emckinney@example.net,822-251-8162,"1906 Newton Ports Apt. 484, New Laurenmouth, AS 32931",Singapore,84
CUST-0063,Stephen Anderson,nelsonscott@example.com,(901)956-7264,"5508 Charles Wells Suite 834, North Ericburgh, GA 55327",United States,44
CUST-0064,Dakota Thomas,lindakirby@example.com,+1-756-443-5882,"457 Jackson Trail, Lake Joseph, CT 25249",Australia,35
CUST-0065,Miguel Garcia,mccormickjames@example.org,(312)404-0806,"605 Smith Underpass Apt. 010, Mannburgh, CA 03955",Germany,38
CUST-0066,Jacqueline Mathis,robinsonisabella@example.org,542-428-5495x8829,"0764 Molly Squares Suite 543, East Ronald, SD 99570",United Kingdom,79
CUST-0067,Brianna Hall,laura71@example.org,844.426.4352x253,"09013 James Mills, Johnsonburgh, MH 98836",Singapore,15
CUST-0068,Thomas Baker,lmaldonado@example.com,312-886-7680,"0379 Michael Vista, Marychester, NE 79714",Japan,67
CUST-0069,Tiffany Gray,sjennings@example.com,001-320-624-0314x49613,"786 Cheyenne Vista Suite 723, Jenniferfurt, MA 43777",Afghanistan,91
CUST-0070,Amanda Meyers,michael57@example.net,(335)557-7924,"026 Johnson Ferry, Port Johnville, MP 68635",Singapore,53
CUST-0071,Jeffrey Shaw,josephkeller@example.org,937-855-3153x1483,"254 Davis Field, New Davidton, UT 18227",Switzerland,55
CUST-0072,Austin Velasquez,alyssa87@example.com,(549)526-9285,"16685 Nelson Brooks Apt. 047, Lisashire, NM 14441",Afghanistan,60
CUST-0073,Rebecca Duffy,tara87@example.org,391.929.9823x963,"7169 Cheryl Station, New Jerryfort, MI 63889",United States,35
CUST-0074,William Lane,harriscaitlin@example.org,(902)336-3912,"1033 Jennifer Shoals Apt. 033, East Brent, IA 18282",Switzerland,68
CUST-0075,Derek Hamilton,cjohnson@example.com,+1-605-680-8653,"14330 Gray Lodge, New Anna, IL 58988",United Kingdom,40
CUST-0076,Sean Ryan,christopher56@example.net,001-593-569-6158x9302,"1252 Tony Glen, East Matthewville, HI 33324",United States,63
CUST-0077,Kevin Farley,whitelisa@example.com,+1-754-814-7787x02075,"203 Matthew Mountain Apt. 989, New Kathleen, NE 94259",Canada,52
CUST-0078,Ana Herrera,stephaniegreen@example.org,410-896-6895x35849,"87886 Catherine Lights Apt. 230, Port Scottton, NH 48054",India,67
CUST-0079,Taylor Simon,nathanjones@example.net,625.443.5752,"156 Nicole Circle Suite 397, Lake Johnburgh, AK 53654",France,46
CUST-0080,Alexander Marshall,livingstonjames@example.com,833.593.8736x87586,"02411 Matthew Glen Apt. 678, North Robertfort, MN 76658",Japan,35
CUST-0081,Paige Woods,omedina@example.org,427-289-4607x8010,"137 Connie Village, Port Johnny, NE 90492",Germany,61
CUST-0082,Anthony Cruz,mitchellapril@example.org,+1-894-567-4796x94994,"09535 Simon Expressway, Port Ronaldmouth, AR 11763",United Kingdom,77
CUST-0083,Ricky Evans,howardblake@example.com,547-488-2747x84136,"3190 Stafford Points Suite 317, Lake Nicholas, PA 77084",Singapore,33
