customer_id,full_name,risk_score,risk_level,rules_triggered_count,rules_triggered_ids
CUST-0496,Jeffrey Walsh,99.38,CRITICAL,23,R01_LARGE_TRANSACTION;R03_STRUCTURING;R04_CRYPTO_MERCHANT;R05_CASH_INTENSIVE_MERCHANT;R06_HIGH_RISK_MERCHANT;R07_SANCTION_COUNTRY;R08_AML_WATCHLIST;R09_PEP_CUSTOMER;R10_NEGATIVE_NEWS;R11_INCOMPLETE_KYC;R13_MULTIPLE_FAILED_LOGINS;R14_IMPOSSIBLE_TRAVEL;R15_VPN_LOGIN;R16_FOREIGN_LOGIN;R18_HIGH_TRANSACTION_FREQUENCY;R21_LARGE_BALANCE_CHANGE;R23_ROUND_NUMBER_PAYMENT;R24_MERCHANT_BLACKLIST;R25_EXTERNAL_FRAUD_ALERT;R26_COUNTRY_RISK;R27_LOCATION_MISMATCH;R28_ACCOUNT_AGE;R30_BEHAVIOURAL_ANOMALY
CUST-0195,Nathan Brown,99.34,CRITICAL,22,R01_LARGE_TRANSACTION;R04_CRYPTO_MERCHANT;R05_CASH_INTENSIVE_MERCHANT;R06_HIGH_RISK_MERCHANT;R07_SANCTION_COUNTRY;R08_AML_WATCHLIST;R09_PEP_CUSTOMER;R10_NEGATIVE_NEWS;R11_INCOMPLETE_KYC;R13_MULTIPLE_FAILED_LOGINS;R14_IMPOSSIBLE_TRAVEL;R15_VPN_LOGIN;R16_FOREIGN_LOGIN;R17_DORMANT_ACCOUNT_ACTIVE;R18_HIGH_TRANSACTION_FREQUENCY;R21_LARGE_BALANCE_CHANGE;R23_ROUND_NUMBER_PAYMENT;R24_MERCHANT_BLACKLIST;R26_COUNTRY_RISK;R27_LOCATION_MISMATCH;R28_ACCOUNT_AGE;R30_BEHAVIOURAL_ANOMALY
CUST-0185,Thomas Carroll,99.09,CRITICAL,20,R01_LARGE_TRANSACTION;R04_CRYPTO_MERCHANT;R05_CASH_INTENSIVE_MERCHANT;R06_HIGH_RISK_MERCHANT;R07_SANCTION_COUNTRY;R08_AML_WATCHLIST;R09_PEP_CUSTOMER;R10_NEGATIVE_NEWS;R13_MULTIPLE_FAILED_LOGINS;R14_IMPOSSIBLE_TRAVEL;R15_VPN_LOGIN;R16_FOREIGN_LOGIN;R18_HIGH_TRANSACTION_FREQUENCY;R21_LARGE_BALANCE_CHANGE;R23_ROUND_NUMBER_PAYMENT;R24_MERCHANT_BLACKLIST;R26_COUNTRY_RISK;R27_LOCATION_MISMATCH;R28_ACCOUNT_AGE;R30_BEHAVIOURAL_ANOMALY
CUST-0478,Curtis Garza,98.91,CRITICAL,19,R01_LARGE_TRANSACTION;R04_CRYPTO_MERCHANT;R05_CASH_INTENSIVE_MERCHANT;R06_HIGH_RISK_MERCHANT;R07_SANCTION_COUNTRY;R08_AML_WATCHLIST;R09_PEP_CUSTOMER;R10_NEGATIVE_NEWS;R11_INCOMPLETE_KYC;R13_MULTIPLE_FAILED_LOGINS;R14_IMPOSSIBLE_TRAVEL;R15_VPN_LOGIN;R16_FOREIGN_LOGIN;R21_LARGE_BALANCE_CHANGE;R23_ROUND_NUMBER_PAYMENT;R24_MERCHANT_BLACKLIST;R26_COUNTRY_RISK;R28_ACCOUNT_AGE;R30_BEHAVIOURAL_ANOMALY
CUST-0262,Mike Chambers,98.66,CRITICAL,20,R01_LARGE_TRANSACTION;R03_STRUCTURING;R04_CRYPTO_MERCHANT;R06_HIGH_RISK_MERCHANT;R07_SANCTION_COUNTRY;R08_AML_WATCHLIST;R10_NEGATIVE_NEWS;R11_INCOMPLETE_KYC;R13_MULTIPLE_FAILED_LOGINS;R14_IMPOSSIBLE_TRAVEL;R15_VPN_LOGIN;R16_FOREIGN_LOGIN;R17_DORMANT_ACCOUNT_ACTIVE;R18_HIGH_TRANSACTION_FREQUENCY;R21_LARGE_BALANCE_CHANGE;R24_MERCHANT_BLACKLIST;R25_EXTERNAL_FRAUD_ALERT;R26_COUNTRY_RISK;R27_LOCATION_MISMATCH;R30_BEHAVIOURAL_ANOMALY
CUST-0287,Sarah Pineda,98.36,CRITICAL,15,R01_LARGE_TRANSACTION;R04_CRYPTO_MERCHANT;R06_HIGH_RISK_MERCHANT;R09_PEP_CUSTOMER;R11_INCOMPLETE_KYC;R15_VPN_LOGIN;R16_FOREIGN_LOGIN;R17_DORMANT_ACCOUNT_ACTIVE;R18_HIGH_TRANSACTION_FREQUENCY;R21_LARGE_BALANCE_CHANGE;R24_MERCHANT_BLACKLIST;R25_EXTERNAL_FRAUD_ALERT;R27_LOCATION_MISMATCH;R28_ACCOUNT_AGE;R30_BEHAVIOURAL_ANOMALY
CUST-0199,Mary Taylor,98.34,CRITICAL,14,R01_LARGE_TRANSACTION;R04_CRYPTO_MERCHANT;R06_HIGH_RISK_MERCHANT;R09_PEP_CUSTOMER;R11_INCOMPLETE_KYC;R15_VPN_LOGIN;R16_FOREIGN_LOGIN;R17_DORMANT_ACCOUNT_ACTIVE;R21_LARGE_BALANCE_CHANGE;R24_MERCHANT_BLACKLIST;R25_EXTERNAL_FRAUD_ALERT;R26_COUNTRY_RISK;R27_LOCATION_MISMATCH;R30_BEHAVIOURAL_ANOMALY
CUST-0244,Kaitlyn Haynes,98.32,CRITICAL,21,R01_LARGE_TRANSACTION;R04_CRYPTO_MERCHANT;R05_CASH_INTENSIVE_MERCHANT;R06_HIGH_RISK_MERCHANT;R07_SANCTION_COUNTRY;R08_AML_WATCHLIST;R09_PEP_CUSTOMER;R10_NEGATIVE_NEWS;R13_MULTIPLE_FAILED_LOGINS;R14_IMPOSSIBLE_TRAVEL;R15_VPN_LOGIN;R16_FOREIGN_LOGIN;R19_ACCOUNT_TAKEOVER_INDICATOR;R21_LARGE_BALANCE_CHANGE;R23_ROUND_NUMBER_PAYMENT;R24_MERCHANT_BLACKLIST;R25_EXTERNAL_FRAUD_ALERT;R26_COUNTRY_RISK;R27_LOCATION_MISMATCH;R28_ACCOUNT_AGE;R30_BEHAVIOURAL_ANOMALY
CUST-0070,Amanda Meyers,98.15,CRITICAL,14,R01_LARGE_TRANSACTION;R04_CRYPTO_MERCHANT;R06_HIGH_RISK_MERCHANT;R08_AML_WATCHLIST;R10_NEGATIVE_NEWS;R11_INCOMPLETE_KYC;R14_IMPOSSIBLE_TRAVEL;R15_VPN_LOGIN;R16_FOREIGN_LOGIN;R17_DORMANT_ACCOUNT_ACTIVE;R18_HIGH_TRANSACTION_FREQUENCY;R21_LARGE_BALANCE_CHANGE;R24_MERCHANT_BLACKLIST;R30_BEHAVIOURAL_ANOMALY
CUST-0072,Austin Velasquez,97.9,CRITICAL,13,R01_LARGE_TRANSACTION;R04_CRYPTO_MERCHANT;R06_HIGH_RISK_MERCHANT;R08_AML_WATCHLIST;R14_IMPOSSIBLE_TRAVEL;R15_VPN_LOGIN;R16_FOREIGN_LOGIN;R17_DORMANT_ACCOUNT_ACTIVE;R18_HIGH_TRANSACTION_FREQUENCY;R21_LARGE_BALANCE_CHANGE;R24_MERCHANT_BLACKLIST;R26_COUNTRY_RISK;R30_BEHAVIOURAL_ANOMALY
